feature,mean_abs_shap
NAME_TYPE_SUITE_Other_B,9.321115e-06
NAME_TYPE_SUITE_Other_A,6.742306e-06
ORGANIZATION_TYPE_Advertising,5.245802e-06
FLAG_MOBIL,0.0
ORGANIZATION_TYPE_XNA,0.0
ORGANIZATION_TYPE_Industry: type 6,0.0
ORGANIZATION_TYPE_Religion,0.0
ORGANIZATION_TYPE_Postal,0.0
ORGANIZATION_TYPE_Insurance,0.0
WALLSMATERIAL_MODE_Mixed,0.0
NAME_INCOME_TYPE_Unemployed,0.0
FLAG_DOCUMENT_7,0.0
ORGANIZATION_TYPE_Mobile,0.0
ORGANIZATION_TYPE_Industry: type 8,0.0
NAME_TYPE_SUITE_Group of people,0.0
CODE_GENDER_Unknown,0.0
NAME_INCOME_TYPE_Businessman,0.0
BUREAU_BUREAU_OVERDUE_FLAG_SUM,0.0
FLAG_DOCUMENT_6,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_2,0.0
EMERGENCYSTATE_MODE_Yes,0.0
WALLSMATERIAL_MODE_Others,0.0
NAME_INCOME_TYPE_Student,0.0
NAME_INCOME_TYPE_Maternity leave,0.0
OCCUPATION_TYPE_Waiters/barmen staff,0.0
NAME_FAMILY_STATUS_Unknown,0.0
FLAG_DOCUMENT_17,0.0
OCCUPATION_TYPE_IT staff,0.0
OCCUPATION_TYPE_HR staff,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_19,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0
FLAG_DOCUMENT_21,0.0
ORGANIZATION_TYPE_Agriculture,0.0
FLAG_DOCUMENT_12,0.0
ORGANIZATION_TYPE_Trade: type 1,0.0
ORGANIZATION_TYPE_Trade: type 5,0.0
ORGANIZATION_TYPE_Cleaning,0.0
FLAG_DOCUMENT_10,0.0
ORGANIZATION_TYPE_Electricity,0.0
ORGANIZATION_TYPE_Culture,0.0
ORGANIZATION_TYPE_Industry: type 11,0.0
ORGANIZATION_TYPE_Industry: type 10,0.0
ORGANIZATION_TYPE_Industry: type 1,0.0
ORGANIZATION_TYPE_Emergency,0.0
ORGANIZATION_TYPE_Industry: type 3,0.0
ORGANIZATION_TYPE_Industry: type 2,0.0
ORGANIZATION_TYPE_Industry: type 13,0.0
ORGANIZATION_TYPE_Industry: type 4,0.0
